START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/17/18,07:05 PM,10:05 PM,White Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/17/18,04/18/18,10:05 PM,01:05 AM,FALSE,TRUE,04/17/18,06:05 PM,09:05 PM,FREE,BUSY
04/18/18,12:35 PM,03:35 PM,White Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/18/18,04/18/18,03:35 PM,06:35 PM,FALSE,TRUE,04/18/18,11:35 AM,02:35 PM,FREE,BUSY
04/20/18,07:05 PM,10:05 PM,Red Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/20/18,04/21/18,10:05 PM,01:05 AM,FALSE,TRUE,04/20/18,06:05 PM,09:05 PM,FREE,BUSY
04/21/18,06:05 PM,09:05 PM,Red Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/21/18,04/22/18,09:05 PM,12:05 AM,FALSE,TRUE,04/21/18,05:05 PM,08:05 PM,FREE,BUSY
04/22/18,01:05 PM,04:05 PM,Red Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/22/18,04/22/18,04:05 PM,07:05 PM,FALSE,TRUE,04/22/18,12:05 PM,03:05 PM,FREE,BUSY
05/01/18,07:10 PM,10:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",05/01/18,05/02/18,10:10 PM,01:10 AM,FALSE,TRUE,05/01/18,06:10 PM,09:10 PM,FREE,BUSY
05/02/18,07:10 PM,10:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",05/02/18,05/03/18,10:10 PM,01:10 AM,FALSE,TRUE,05/02/18,06:10 PM,09:10 PM,FREE,BUSY
05/03/18,07:10 PM,10:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",05/03/18,05/04/18,10:10 PM,01:10 AM,FALSE,TRUE,05/03/18,06:10 PM,09:10 PM,FREE,BUSY
05/04/18,07:05 PM,10:05 PM,Orioles at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",05/04/18,05/05/18,10:05 PM,01:05 AM,FALSE,TRUE,05/04/18,06:05 PM,09:05 PM,FREE,BUSY
05/05/18,06:05 PM,09:05 PM,Orioles at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",05/05/18,05/06/18,09:05 PM,12:05 AM,FALSE,TRUE,05/05/18,05:05 PM,08:05 PM,FREE,BUSY
