home.team,name,name,dist1
Tigers,Comerica Park,Globe Life Park in Arlington,1199
Tigers,Comerica Park,Rogers Centre,230
Marlins,Marlins Park,Angel Stadium of Anaheim,2719
Marlins,Marlins Park,Chase Field,2362
Marlins,Marlins Park,SunTrust Park,675
Marlins,Marlins Park,Oriole Park at Camden Yards,1094
Marlins,Marlins Park,Fenway Park,1494
Marlins,Marlins Park,Wrigley Field,1378
Marlins,Marlins Park,Guaranteed Rate Field,1369
Marlins,Marlins Park,Great American Ball Park,1123
Marlins,Marlins Park,Progressive Field,1242
Marlins,Marlins Park,Coors Field,2064
Marlins,Marlins Park,Comerica Park,1395
Marlins,Marlins Park,Minute Maid Park,1186
Marlins,Marlins Park,Kauffman Stadium,1457
Marlins,Marlins Park,Dodger Stadium,2737
Marlins,Marlins Park,Miller Park,1479
Marlins,Marlins Park,Target Field,1776
Marlins,Marlins Park,Nationals Park,1057
Marlins,Marlins Park,Citi Field,1296
Marlins,Marlins Park,Yankee Stadium,1290
Marlins,Marlins Park,Oakland Coliseum,3124
Marlins,Marlins Park,Citizens Bank Park,1190
Marlins,Marlins Park,PNC Park,1175
Marlins,Marlins Park,Petco Park,2658
Marlins,Marlins Park,ATT Park,3139
Marlins,Marlins Park,Safeco Field,3360
Marlins,Marlins Park,Busch Stadium,1217
Marlins,Marlins Park,Tropicana Field,266
Marlins,Marlins Park,Globe Life Park in Arlington,1362
Marlins,Marlins Park,Rogers Centre,1481
Astros,Minute Maid Park,Angel Stadium of Anaheim,1534
Astros,Minute Maid Park,Chase Field,1177
Astros,Minute Maid Park,SunTrust Park,800
Astros,Minute Maid Park,Oriole Park at Camden Yards,1445
Astros,Minute Maid Park,Fenway Park,1843
Astros,Minute Maid Park,Wrigley Field,1106
Astros,Minute Maid Park,Guaranteed Rate Field,1096
Astros,Minute Maid Park,Great American Ball Park,1125
Astros,Minute Maid Park,Progressive Field,1374
Astros,Minute Maid Park,Coors Field,1120
Astros,Minute Maid Park,Comerica Park,1313
Astros,Minute Maid Park,Marlins Park,1186
Astros,Minute Maid Park,Kauffman Stadium,797
Astros,Minute Maid Park,Dodger Stadium,1552
Astros,Minute Maid Park,Miller Park,1192
Astros,Minute Maid Park,Target Field,1231
Astros,Minute Maid Park,Nationals Park,1413
Astros,Minute Maid Park,Citi Field,1643
Astros,Minute Maid Park,Yankee Stadium,1641
Astros,Minute Maid Park,Oakland Coliseum,1913
Astros,Minute Maid Park,Citizens Bank Park,1545
Astros,Minute Maid Park,PNC Park,1414
Astros,Minute Maid Park, ParkPETCO,1472
Astros,Minute Maid Park,ATT Park,1928
Astros,Minute Maid Park,Safeco Field,2443
Astros,Minute Maid Park,Busch Stadium,851
Astros,Minute Maid Park,Tropicana Field,1003
Astros,Minute Maid Park,Globe Life Park in Arlington,257
Astros,Minute Maid Park,Rogers Centre,1543
Royals,Kauffman Stadium,Angel Stadium of Anaheim,1620
Royals,Kauffman Stadium,Chase Field,1362
Royals,Kauffman Stadium,SunTrust Park,783
Royals,Kauffman Stadium,Oriole Park at Camden Yards,1061
Royals,Kauffman Stadium,Fenway Park,1410
Royals,Kauffman Stadium,Wrigley Field,532
Royals,Kauffman Stadium,Guaranteed Rate Field,531
Royals,Kauffman Stadium,Great American Ball Park,584
Royals,Kauffman Stadium,Progressive Field,791
Royals,Kauffman Stadium,Coors Field,609
Royals,Kauffman Stadium,Comerica Park,757
Royals,Kauffman Stadium,Marlins Park,1457
Royals,Kauffman Stadium,Minute Maid Park,797
Royals,Kauffman Stadium,Dodger Stadium,1630
Royals,Kauffman Stadium,Miller Park,566
Royals,Kauffman Stadium,Target Field,439
Royals,Kauffman Stadium,Nationals Park,1049
Royals,Kauffman Stadium,Citi Field,1198
Royals,Kauffman Stadium,Yankee Stadium,1196
Royals,Kauffman Stadium,Oakland Coliseum,1813
Royals,Kauffman Stadium,Citizens Bank Park,1124
Royals,Kauffman Stadium,PNC Park,835
Royals,Kauffman Stadium,Petco Park,1690
Royals,Kauffman Stadium,ATT Park,1811
Royals,Kauffman Stadium,Safeco Field,1901
Royals,Kauffman Stadium,Busch Stadium,242
Royals,Kauffman Stadium,Tropicana Field,1272
Royals,Kauffman Stadium,Globe Life Park in Arlington,559
Royals,Kauffman Stadium,Rogers Centre,987
Dodgers,Dodger Stadium,Angel Stadium of Anaheim,31
Dodgers,Dodger Stadium,Chase Field,375
Dodgers,Dodger Stadium,SunTrust Park,2182
Dodgers,Dodger Stadium,Oriole Park at Camden Yards,2659
Dodgers,Dodger Stadium,Fenway Park,2996
Dodgers,Dodger Stadium,Wrigley Field,2023
Dodgers,Dodger Stadium,Guaranteed Rate Field,2022
Dodgers,Dodger Stadium,Great American Ball Park,2190
Dodgers,Dodger Stadium,Progressive Field,2349
Dodgers,Dodger Stadium,Coors Field,1020
Dodgers,Dodger Stadium,Comerica Park,2285
Dodgers,Dodger Stadium,Marlins Park,2737
Dodgers,Dodger Stadium,Minute Maid Park,1552
Dodgers,Dodger Stadium,Kauffman Stadium,1630
Dodgers,Dodger Stadium,Miller Park,2056
Dodgers,Dodger Stadium,Target Field,1930
Dodgers,Dodger Stadium,Nationals Park,2672
Dodgers,Dodger Stadium,Citi Field,2807
Dodgers,Dodger Stadium,Yankee Stadium,2799
Dodgers,Dodger Stadium,Oakland Coliseum,366
Dodgers,Dodger Stadium,Citizens Bank Park,2721
Dodgers,Dodger Stadium,PNC Park,2433
Dodgers,Dodger Stadium,Petco Park,124
Dodgers,Dodger Stadium,ATT Park,381
Dodgers,Dodger Stadium,Safeco Field,1136
Dodgers,Dodger Stadium,Busch Stadium,1832
Dodgers,Dodger Stadium,Tropicana Field,2553
Dodgers,Dodger Stadium,Globe Life Park in Arlington,1423
Dodgers,Dodger Stadium,Rogers Centre,2514
Brewers,Miller Park,Angel Stadium of Anaheim,2049
Brewers,Miller Park,Chase Field,1885
Brewers,Miller Park,SunTrust Park,805
Brewers,Miller Park,Oriole Park at Camden Yards,794
Brewers,Miller Park,Fenway Park,1084
Brewers,Miller Park,Wrigley Field,91
Brewers,Miller Park,Guaranteed Rate Field,98
Brewers,Miller Park,Great American Ball Park,392
Brewers,Miller Park,Progressive Field,437
Brewers,Miller Park,Coors Field,1040
Brewers,Miller Park,Comerica Park,384
Brewers,Miller Park,Marlins Park,1479
Brewers,Miller Park,Minute Maid Park,1192
Brewers,Miller Park,Kauffman Stadium,566
Brewers,Miller Park,Dodger Stadium,2056
Brewers,Miller Park,Target Field,334
Brewers,Miller Park,Nationals Park,791
Brewers,Miller Park,Citi Field,895
Brewers,Miller Park,Yankee Stadium,886
Brewers,Miller Park,Oakland Coliseum,2168
Brewers,Miller Park,Citizens Bank Park,854
Brewers,Miller Park,PNC Park,552
Brewers,Miller Park,Petco Park,2117
Brewers,Miller Park,ATT Park,2166
Brewers,Miller Park,Safeco Field,2025
Brewers,Miller Park,Busch Stadium,377
Brewers,Miller Park,Tropicana Field,1288
Brewers,Miller Park,Globe Life Park in Arlington,1045
Brewers,Miller Park,Rogers Centre,603
Twins,Target Field,Angel Stadium of Anaheim,1922
Twins,Target Field,Chase Field,1796
Twins,Target Field,SunTrust Park,1102
Twins,Target Field,Oriole Park at Camden Yards,1117
Twins,Target Field,Fenway Park,1406
Twins,Target Field,Wrigley Field,405
Twins,Target Field,Guaranteed Rate Field,412
Twins,Target Field,Great American Ball Park,703
Twins,Target Field,Progressive Field,760
Twins,Target Field,Coors Field,913
Twins,Target Field,Comerica Park,695
Twins,Target Field,Marlins Park,1776
Twins,Target Field,Minute Maid Park,1231
Twins,Target Field,Kauffman Stadium,439
Twins,Target Field,Dodger Stadium,1930
Twins,Target Field,Miller Park,334
Twins,Target Field,Nationals Park,1109
Twins,Target Field,Citi Field,1213
Twins,Target Field,Yankee Stadium,1204
Twins,Target Field,Oakland Coliseum,2041
Twins,Target Field,Citizens Bank Park,1173
Twins,Target Field,PNC Park,870
Twins,Target Field,Petco Park,1991
Twins,Target Field,ATT Park,2039
Twins,Target Field,Safeco Field,1658
Twins,Target Field,Busch Stadium,562
Twins,Target Field,Tropicana Field,1593
Twins,Target Field,Globe Life Park in Arlington,993
Twins,Target Field,Rogers Centre,925
Nationals,Nationals Park,Angel Stadium of Anaheim,2664
Nationals,Nationals Park,Chase Field,2349
Nationals,Nationals Park,SunTrust Park,639
Nationals,Nationals Park,Oriole Park at Camden Yards,38
Nationals,Nationals Park,Fenway Park,439
Nationals,Nationals Park,Wrigley Field,706
Nationals,Nationals Park,Guaranteed Rate Field,697
Nationals,Nationals Park,Great American Ball Park,502
Nationals,Nationals Park,Progressive Field,372
Nationals,Nationals Park,Coors Field,1657
Nationals,Nationals Park,Comerica Park,524
Nationals,Nationals Park,Marlins Park,1057
Nationals,Nationals Park,Minute Maid Park,1413
Nationals,Nationals Park,Kauffman Stadium,1049
Nationals,Nationals Park,Dodger Stadium,2672
Nationals,Nationals Park,Miller Park,791
Nationals,Nationals Park,Target Field,1109
Nationals,Nationals Park,Citi Field,240
Nationals,Nationals Park,Yankee Stadium,235
Nationals,Nationals Park,Oakland Coliseum,2816
Nationals,Nationals Park,Citizens Bank Park,134
Nationals,Nationals Park,PNC Park,246
Nationals,Nationals Park,Petco Park,2694
Nationals,Nationals Park,ATT Park,2814
Nationals,Nationals Park,Safeco Field,2806
Nationals,Nationals Park,Busch Stadium,826
Nationals,Nationals Park,Tropicana Field,930
Nationals,Nationals Park,Globe Life Park in Arlington,1347
Nationals,Nationals Park,Rogers Centre,492
Mets,Citi Field,Angel Stadium of Anaheim,2800
Mets,Citi Field,Chase Field,2473
Mets,Citi Field,SunTrust Park,893
Mets,Citi Field,Oriole Park at Camden Yards,206
Mets,Citi Field,Fenway Park,204
Mets,Citi Field,Wrigley Field,810
Mets,Citi Field,Guaranteed Rate Field,801
Mets,Citi Field,Great American Ball Park,651
Mets,Citi Field,Progressive Field,477
Mets,Citi Field,Coors Field,1791
Mets,Citi Field,Comerica Park,628
Mets,Citi Field,Marlins Park,1296
Mets,Citi Field,Minute Maid Park,1643
Mets,Citi Field,Kauffman Stadium,1198
Mets,Citi Field,Dodger Stadium,2807
Mets,Citi Field,Miller Park,895
Mets,Citi Field,Target Field,1213
Mets,Citi Field,Nationals Park,240
Mets,Citi Field,Yankee Stadium,9
Mets,Citi Field,Oakland Coliseum,2920
Mets,Citi Field,Citizens Bank Park,109
Mets,Citi Field,PNC Park,381
Mets,Citi Field,Petco Park,2869
Mets,Citi Field,ATT Park,2918
Mets,Citi Field,Safeco Field,2911
Mets,Citi Field,Busch Stadium,962
Mets,Citi Field,Tropicana Field,1167
Mets,Citi Field,Globe Life Park in Arlington,1574
Mets,Citi Field,Rogers Centre,492
Yankees,Yankee Stadium,Angel Stadium of Anaheim,2791
Yankees,Yankee Stadium,Chase Field,2470
Yankees,Yankee Stadium,SunTrust Park,891
Yankees,Yankee Stadium,Oriole Park at Camden Yards,200
Yankees,Yankee Stadium,Fenway Park,204
Yankees,Yankee Stadium,Wrigley Field,802
Yankees,Yankee Stadium,Guaranteed Rate Field,792
Yankees,Yankee Stadium,Great American Ball Park,649
Yankees,Yankee Stadium,Progressive Field,468
Yankees,Yankee Stadium,Coors Field,1783
Yankees,Yankee Stadium,Comerica Park,619
Yankees,Yankee Stadium,Marlins Park,1290
Yankees,Yankee Stadium,Minute Maid Park,1641
Yankees,Yankee Stadium,Kauffman Stadium,1196
Yankees,Yankee Stadium,Dodger Stadium,2799
Yankees,Yankee Stadium,Miller Park,886
Yankees,Yankee Stadium,Target Field,1204
Yankees,Yankee Stadium,Nationals Park,235
Yankees,Yankee Stadium,Citi Field,9
Yankees,Yankee Stadium,Oakland Coliseum,2912
Yankees,Yankee Stadium,Citizens Bank Park,108
Yankees,Yankee Stadium,PNC Park,376
Yankees,Yankee Stadium,Petco Park,2861
Yankees,Yankee Stadium,ATT Park,2910
Yankees,Yankee Stadium,Safeco Field,2902
Yankees,Yankee Stadium,Busch Stadium,963
Yankees,Yankee Stadium,Tropicana Field,1166
Yankees,Yankee Stadium,Globe Life Park in Arlington,1575
Yankees,Yankee Stadium,Rogers Centre,483
Athletics,Oakland Coliseum,Angel Stadium of Anaheim,394
